,split0_test_rmse,split1_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_reg_all
36,1.0333641191577037,1.0320085366110345,1.032686327884369,0.0006777912733345604,40,0.827933515590671,0.8275771771241721,0.8277553463574215,0.00017816923324942557,40,67.6875239610672,2.16781747341156,13.148143291473389,1.0578761100769043,"{'n_factors': 80, 'reg_all': 0.02}",80,0.02
37,1.0193337604037025,1.0178923613678834,1.018613060885793,0.0007206995179095399,30,0.8209992206722658,0.8209776162971836,0.8209884184847247,1.0802187541125718e-05,31,70.96989834308624,2.888215184211731,13.211822509765625,0.806002140045166,"{'n_factors': 80, 'reg_all': 0.03}",80,0.03
38,1.0123688420629713,1.0110859623043102,1.0117274021836407,0.0006414398793305187,20,0.8183147727335863,0.8180881918508783,0.8182014822922323,0.00011329044135399702,23,77.62109887599945,2.2096065282821655,14.682225823402405,0.05345571041107178,"{'n_factors': 80, 'reg_all': 0.04}",80,0.04
39,1.0091883304154186,1.0077192712067171,1.008453800811068,0.00073452960435072,13,0.8171883252121948,0.8171644436264904,0.8171763844193426,1.1940792852160875e-05,17,74.05761897563934,3.048587203025818,12.731133818626404,0.5716069936752319,"{'n_factors': 80, 'reg_all': 0.05}",80,0.05
40,1.064353872394553,1.0636147268296305,1.0639842996120916,0.00036957278246119163,49,0.845658822290116,0.8448697766012893,0.8452642994457027,0.0003945228444133808,49,72.21027708053589,0.10027027130126953,11.459307670593262,0.6131696701049805,"{'n_factors': 90, 'reg_all': 0.01}",90,0.01
41,1.0345599203419211,1.0345637815424684,1.0345618509421948,1.9306002736474426e-06,41,0.8281949383235566,0.8294443863440332,0.8288196623337949,0.0006247240102382756,41,74.38615417480469,1.596710205078125,12.431527137756348,0.4086019992828369,"{'n_factors': 90, 'reg_all': 0.02}",90,0.02
42,1.0202779660082226,1.0185391556672834,1.019408560837753,0.0008694051704696282,31,0.8215564765946017,0.8210752526404238,0.8213158646175127,0.00024061197708896698,32,73.58185803890228,1.416659951210022,11.988736271858215,0.19304907321929932,"{'n_factors': 90, 'reg_all': 0.03}",90,0.03
43,1.0126955416880339,1.0111064016225233,1.0119009716552787,0.0007945700327552929,21,0.8183047779947304,0.8178390289880284,0.8180719034913795,0.00023287450335102156,22,73.68937909603119,1.7612024545669556,11.878433227539062,0.13320255279541016,"{'n_factors': 90, 'reg_all': 0.04}",90,0.04
44,1.008880088447632,1.0077322066036134,1.0083061475256228,0.0005739409220093528,11,0.8170929425674991,0.8169552486852252,0.8170240956263621,6.884694113695744e-05,13,63.28929567337036,7.818486452102661,10.147623419761658,0.7123817205429077,"{'n_factors': 90, 'reg_all': 0.05}",90,0.05
45,1.0641672220075802,1.0649252803627736,1.0645462511851769,0.0003790291775966903,50,0.8446161094000397,0.8459723764464946,0.8452942429232672,0.000678133523227431,50,65.99114203453064,3.5525007247924805,9.71537458896637,2.4876726865768433,"{'n_factors': 100, 'reg_all': 0.01}",100,0.01
46,1.0375707259018954,1.035614550668757,1.036592638285326,0.0009780876165691454,42,0.8307021475655224,0.8297613370258539,0.8302317422956882,0.0004704052698342731,43,69.59491229057312,2.1825039386749268,13.036502957344055,2.4438799619674683,"{'n_factors': 100, 'reg_all': 0.02}",100,0.02
47,1.0214329817445795,1.0196924254035462,1.020562703574063,0.0008702781705166585,33,0.8225466021900314,0.8216568174293463,0.8221017098096888,0.0004448923803425653,33,74.11082005500793,1.782621145248413,9.432815909385681,1.7427500486373901,"{'n_factors': 100, 'reg_all': 0.03}",100,0.03
48,1.013592209577791,1.0113845605719858,1.0124883850748883,0.001103824502902584,24,0.8189853197364668,0.8180680321591818,0.8185266759478242,0.000458643788642521,24,68.32578349113464,2.1287081241607666,11.32800805568695,0.7084203958511353,"{'n_factors': 100, 'reg_all': 0.04}",100,0.04
49,1.0094351686051728,1.0077477040244434,1.008591436314808,0.0008437322903647182,14,0.8174264920203033,0.816913138880319,0.8171698154503111,0.0002566765699921203,16,53.90561616420746,8.059951901435852,6.520507335662842,0.46833133697509766,"{'n_factors': 100, 'reg_all': 0.05}",100,0.05
