,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_bsl_options
23,0.9977003185619793,1.0000592379204625,1.0011177238164288,1.0001112479369147,0.9987569947572928,0.9995491045986157,0.0011901474866021808,17,0.5842276573181152,0.038437776084160116,1.8521466732025147,0.12313281491388195,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 20, 'n_epochs': 10}"
24,0.9974078572997657,0.999804511301051,1.0008288740919604,0.9998127231597708,0.9984859917008919,0.999267991510688,0.0011910133057735307,1,0.6189609050750733,0.08332895233857776,1.9637811183929443,0.30642998902272695,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 1, 'n_epochs': 10}"
25,0.9974106455391406,0.9998053107038267,1.00083692262787,0.999821071309285,0.9984870716749737,0.9992722043710192,0.001192948878725955,2,0.5953301429748535,0.0465133796892772,1.7860678672790526,0.06381441842814793,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 2, 'n_epochs': 10}"
26,0.9974281970391161,0.9998170053359567,1.000867726987814,0.999854716680081,0.9984996375883185,0.9992934567262572,0.0011980638766892005,3,0.580532455444336,0.019301894774045904,1.8944400787353515,0.06603587151116445,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 5, 'n_epochs': 10}"
27,0.9974798339602055,0.9998595313695378,1.000936768171078,0.9999302149354969,0.9985426727038788,0.9993498042280393,0.0012052720028684501,9,0.5856226921081543,0.025867759757182248,1.7815892696380615,0.05795501243285229,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 10, 'n_epochs': 10}"
28,0.9975511727244659,0.9999225952381784,1.001022542203638,1.000022270721253,0.9986062347826271,0.9994249631340324,0.0012114519850863457,13,0.5975940227508545,0.031699306095490834,1.869718360900879,0.060657582774803785,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 15, 'n_epochs': 10}"
29,0.9976367866778055,1.0000006560228232,1.0011207330211391,1.0001263169522732,0.9986854211142335,0.9995139827576549,0.0012168672862137393,16,0.5512975692749024,0.006463698648367689,1.8036372661590576,0.0656172470614096,"{'bsl_options': {'method': 'als', 'reg_u': 15, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 15, 'reg_i': 20, 'n_epochs': 10}"
30,0.997447871319151,0.9998457421345051,1.0009201511998649,0.9999155368577473,0.9985122025005252,0.9993283008023587,0.001212320987575033,5,0.6280567646026611,0.1194337105347287,2.0301183700561523,0.470968770686352,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 1, 'n_epochs': 10}"
31,0.9974513182708634,0.9998472512212782,1.0009289672346158,0.999924743700968,0.9985142230712001,0.9993333006997851,0.0012143185477450395,7,0.7874029159545899,0.11549382601632528,2.10461688041687,0.05744677232216808,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 2, 'n_epochs': 10}"
32,0.9974709273677956,0.9998611463543727,1.0009621645531295,0.9999609968292871,0.9985296093043939,0.9993569688817958,0.0012196207846149204,10,0.712567949295044,0.018636817828319493,2.1640014171600344,0.07790843274693307,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 5, 'n_epochs': 10}"
33,0.9975262735165338,0.9999075978420389,1.0010354987970838,1.0000410419404284,0.9985774425050926,0.9994175709202355,0.0012271393347924719,12,0.8036644458770752,0.08954851235409723,2.179514980316162,0.17632912966918315,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 10, 'n_epochs': 10}"
34,0.9976016720249133,0.9999749389234096,1.001125884146043,1.0001379457767423,0.9986459828981137,0.9994972847538444,0.0012336124593963509,15,0.7331276893615722,0.023774056318256832,2.166993427276611,0.043726190304994035,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 15, 'n_epochs': 10}"
35,0.9976916251492013,1.0000576649065425,1.001229046498201,1.0002471442994483,0.9987303046250612,0.9995911570956908,0.0012393481380030154,21,0.7279731273651123,0.07608239073708682,2.0615217208862306,0.10825338639564402,"{'bsl_options': {'method': 'als', 'reg_u': 20, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 20, 'reg_i': 20, 'n_epochs': 10}"
